ID,Married,Gender,Age,Graduate,Profession,Years_of_Working ,Spending_Score,Family_Members,Category,Class(Target)
122,0,0,49,1,Artist,0,Average,4,Cat_6,B
123,0,1,49,0,Engineer,12,Low,1,Cat_4,D
124,1,0,32,1,Doctor,0,Low,3,Cat_6,A
125,0,1,33,1,Engineer,1,Low,3,Cat_6,C
126,0,1,46,0,Engineer,1,Low,3,Cat_3,A
127,1,0,39,0,Entertainment,1,Average,5,Cat_4,B
128,1,1,28,1,Artist,9,Low,1,Cat_6,C
129,0,0,65,1,Artist,1,Average,4,Cat_6,D
130,0,0,63,1,Artist,1,Average,3,Cat_6,D
131,0,1,25,0,Marketing,0,Low,4,Cat_6,D
132,1,1,42,0,Engineer,0,Low,nan,Cat_6,B
133,0,0,60,1,Lawyer,1,High,3,Cat_6,D
134,0,0,70,1,Artist,1,Average,2,Cat_6,D
135,0,0,41,1,Artist,1,Low,1,Cat_6,B
136,1,1,23,0,Healthcare,1,Low,4,Cat_6,A
137,0,0,69,0,Engineer,9,Low,3,Cat_6,C
138,1,0,35,1,Doctor,5,High,2,Cat_6,A
139,1,0,48,1,Artist,0,Average,2,Cat_6,D
140,1,0,42,1,Executive,0,High,3,Cat_4,D
141,1,1,38,1,Artist,9,Low,3,Cat_6,C
142,1,0,41,1,Entertainment,0,Average,4,Cat_6,B
143,1,0,65,1,Artist,0,High,2,Cat_6,C
144,1,1,19,0,Healthcare,1,Low,4,Cat_6,A
145,1,1,28,0,Marketing,0,Low,6,Cat_6,B
146,1,1,29,1,Entertainment,9,Low,1,Cat_6,C
147,1,0,73,0,Executive,1,Low,1,Cat_6,B
148,0,1,32,1,Artist,0,Low,3,Cat_4,A
149,0,1,42,1,Artist,12,Low,1,Cat_6,B
150,1,1,29,0,Doctor,1,Low,2,Cat_6,A
151,0,1,19,0,Healthcare,nan,Low,4,Cat_1,A
152,0,1,18,0,Healthcare,1,Low,3,Cat_6,A
153,0,1,19,0,Doctor,1,Low,3,Cat_1,C
154,0,0,53,1,Artist,nan,Low,nan,Cat_3,C
155,1,0,50,1,Entertainment,1,Average,4,Cat_3,B
156,1,1,40,0,Entertainment,1,Low,1,Cat_4,C
157,1,0,46,0,Artist,4,High,4,Cat_6,D
158,1,1,18,0,Marketing,0,Low,6,Cat_3,B
159,1,0,50,1,Executive,1,High,3,Cat_6,D
160,1,0,49,0,Entertainment,1,Average,6,Cat_3,B
161,1,0,69,0,Executive,1,High,4,Cat_6,D
162,0,1,27,0,Healthcare,14,Low,1,Cat_6,A
163,1,0,49,1,Marketing,0,High,2,Cat_6,D
164,1,1,27,0,Artist,9,Low,8,Cat_6,A
165,1,0,46,0,Doctor,0,Average,3,Cat_4,A
166,1,1,53,1,Artist,1,Low,1,Cat_6,B
167,0,0,63,1,Artist,1,Average,4,Cat_6,B
168,1,0,72,1,Artist,0,Average,2,Cat_6,D
169,1,nan,32,1,Healthcare,8,High,5,Cat_7,A
170,0,1,35,1,Healthcare,0,Low,1,Cat_2,A
171,0,0,47,1,Healthcare,0,Average,6,Cat_1,D
172,0,0,56,0,nan,nan,Average,3,Cat_4,A
173,0,1,19,0,Healthcare,7,Low,1,Cat_4,A
174,0,1,23,0,Healthcare,1,Low,3,Cat_6,A
175,0,0,84,0,Lawyer,0,High,2,Cat_6,B
176,1,0,62,1,Entertainment,1,Average,3,Cat_6,D
177,0,1,19,0,Healthcare,0,Low,3,Cat_6,A
178,1,0,53,1,Artist,0,Average,3,Cat_6,C
179,1,0,29,1,Marketing,1,High,2,Cat_3,C
180,1,0,48,1,Artist,0,High,4,Cat_6,B
181,1,1,25,0,Doctor,0,Low,4,Cat_6,A
182,0,1,26,0,Artist,1,Low,1,Cat_6,A
183,0,0,81,0,Engineer,0,High,2,Cat_6,B
184,1,0,46,1,Artist,8,Average,2,Cat_6,D
185,1,1,33,0,Marketing,nan,Low,nan,Cat_6,D
186,1,0,55,1,Artist,1,Low,2,Cat_6,D
187,1,0,48,1,Engineer,0,Average,3,Cat_3,B
188,0,0,35,1,Entertainment,9,Average,2,Cat_2,C
189,0,0,41,1,Artist,nan,Low,1,Cat_6,B
190,1,1,29,0,Healthcare,1,Low,nan,Cat_6,A
191,1,1,36,1,Artist,5,Low,1,Cat_6,A
192,1,0,77,1,Lawyer,0,Low,1,Cat_6,C
193,1,0,79,1,Lawyer,2,Low,1,Cat_6,A
194,1,0,51,1,Entertainment,1,Average,4,Cat_6,B
195,1,0,49,1,Artist,1,Low,2,Cat_6,D
196,0,1,22,0,Healthcare,1,Low,3,Cat_6,A
197,1,0,52,1,Artist,4,Low,1,Cat_6,D
198,1,1,48,0,Entertainment,1,Low,1,Cat_6,D
199,1,1,19,0,Entertainment,0,Low,6,Cat_4,C
200,1,0,28,0,Entertainment,0,Average,2,Cat_4,C
201,0,0,42,0,Homemaker,6,High,4,Cat_6,B
202,1,0,47,1,Entertainment,2,Average,3,Cat_3,B
203,0,1,85,1,Lawyer,0,Low,3,Cat_6,C
204,0,1,42,1,Marketing,10,Low,3,Cat_6,A
205,0,0,45,1,Artist,5,Average,2,Cat_6,B
206,1,0,53,1,Artist,0,High,3,Cat_6,D
207,0,0,50,1,Artist,1,Average,2,Cat_6,D
208,0,0,40,1,Doctor,0,Low,1,Cat_2,C
209,0,1,27,1,Entertainment,8,Low,3,Cat_6,A
210,0,1,28,1,Engineer,1,Low,6,Cat_2,C
211,1,0,66,nan,Executive,0,High,2,Cat_6,B
212,1,1,28,1,Engineer,0,Low,5,Cat_4,A
213,1,1,22,0,Healthcare,0,Low,5,Cat_2,A
214,1,0,33,1,Entertainment,nan,Average,2,Cat_3,B
215,1,0,43,1,Artist,13,Low,1,Cat_6,C
216,0,1,29,0,Engineer,0,Low,3,Cat_6,A
217,1,0,80,1,Executive,3,Low,1,Cat_6,B
218,1,0,36,1,Homemaker,nan,Average,2,Cat_3,D
219,0,1,41,1,Artist,0,Low,1,Cat_6,D
220,0,0,60,0,Lawyer,nan,High,2,Cat_6,D
221,0,1,20,0,Healthcare,0,Low,3,Cat_6,A
222,0,0,86,1,Lawyer,0,High,2,Cat_6,D
223,1,0,32,0,Entertainment,1,Low,2,Cat_3,A
224,0,0,58,1,Homemaker,2,Low,1,Cat_6,D
225,0,0,69,1,Artist,9,High,2,Cat_6,D
226,0,1,27,0,Healthcare,0,Low,4,Cat_4,D
227,0,0,49,1,Artist,2,Average,2,Cat_6,D
228,0,1,43,1,Engineer,0,Low,1,Cat_3,C
229,1,1,26,0,Healthcare,0,Low,4,Cat_4,A
230,0,1,41,1,Marketing,1,Low,1,Cat_6,A
231,1,0,38,1,Artist,8,Average,2,Cat_4,B
232,1,0,42,1,Executive,5,High,3,Cat_6,D
233,1,1,26,1,Artist,nan,Low,nan,Cat_4,C
234,0,nan,60,1,Engineer,1,Average,4,Cat_2,B
235,0,1,38,1,Engineer,0,Low,3,Cat_6,D
236,0,1,49,1,Artist,0,Low,3,Cat_2,B
237,1,0,40,0,Doctor,0,Average,2,Cat_3,A
238,0,1,18,0,Healthcare,0,Low,6,Cat_6,A
239,1,1,27,1,Doctor,0,Low,5,Cat_6,B
240,1,0,73,1,Executive,1,High,2,Cat_6,B
241,1,0,60,1,Executive,4,High,3,Cat_6,D
242,0,1,28,1,Engineer,9,Low,3,Cat_6,A
243,0,1,25,1,Artist,4,Low,5,Cat_6,D
244,0,0,38,1,Engineer,nan,Average,3,Cat_4,C
245,1,0,39,0,Executive,8,Average,4,Cat_4,C
246,0,0,40,1,Engineer,1,Average,4,Cat_5,B
247,1,0,59,0,Doctor,0,Average,2,Cat_6,B
248,0,1,20,0,Healthcare,3,Low,3,Cat_1,A
249,1,0,50,1,Entertainment,0,Average,4,Cat_6,B
250,1,1,36,0,Artist,2,Low,4,Cat_6,C
251,0,0,26,0,Engineer,7,Average,2,Cat_3,B
252,1,1,30,0,Entertainment,1,Low,2,Cat_4,A
253,0,1,20,0,Marketing,1,Low,2,Cat_3,A
254,1,1,47,1,Artist,0,Low,1,Cat_6,C
255,1,1,87,nan,Lawyer,1,Low,2,Cat_4,C
256,0,0,60,1,Engineer,4,Average,4,Cat_2,B
257,0,1,40,1,Entertainment,14,Low,1,Cat_6,C
258,0,1,27,0,Artist,1,Low,6,Cat_6,A
259,1,0,37,0,Engineer,8,Average,3,Cat_4,A
260,1,1,32,1,Entertainment,1,Low,1,Cat_4,C
261,1,1,19,0,Healthcare,5,Low,5,Cat_2,C
262,1,1,32,1,Healthcare,nan,Low,1,Cat_6,B
263,1,0,50,0,Artist,0,Average,4,Cat_6,D
264,0,1,22,0,Entertainment,nan,Low,3,Cat_6,A
265,1,1,21,0,Healthcare,1,Low,3,Cat_4,A
266,1,0,48,1,Artist,1,Average,3,Cat_6,D
267,1,1,28,0,Doctor,8,Low,3,Cat_6,C
268,0,0,25,1,Artist,8,Average,2,Cat_4,D
269,0,0,86,1,Lawyer,1,High,2,Cat_6,A
270,0,1,18,0,Healthcare,nan,Low,3,Cat_3,A
271,0,0,49,1,Engineer,0,High,2,Cat_4,A
272,0,0,41,1,Homemaker,nan,High,2,Cat_6,D
273,1,0,30,1,Artist,12,Average,2,Cat_6,B
274,1,0,62,1,Artist,0,Low,3,Cat_6,D
275,0,0,70,1,Lawyer,1,High,2,Cat_6,D
276,1,0,57,1,Artist,nan,Low,1,Cat_6,A
277,1,1,52,1,Artist,0,Low,1,Cat_6,C
278,0,1,21,0,Doctor,1,Low,3,Cat_7,C
279,1,0,62,0,Executive,9,High,3,Cat_6,B
280,1,0,83,1,Executive,nan,High,2,Cat_6,B
281,1,0,35,0,Doctor,9,Low,2,Cat_6,B
282,1,0,41,0,Executive,1,Average,3,Cat_6,C
283,0,1,45,1,Artist,3,Low,1,Cat_6,C
284,1,1,20,0,Healthcare,0,Low,5,Cat_2,A
285,1,0,52,1,Healthcare,0,Average,4,Cat_6,D
286,0,0,38,1,Engineer,0,Low,1,Cat_5,A
287,1,1,26,0,Artist,0,Low,2,Cat_6,A
288,1,0,61,1,Executive,9,High,3,Cat_6,D
289,0,1,43,1,Artist,8,Low,4,Cat_6,A
290,0,0,74,0,Lawyer,1,High,2,Cat_6,C
291,0,1,22,0,Healthcare,3,Low,3,Cat_6,A
292,0,0,61,0,Engineer,1,Average,2,Cat_6,D
293,0,1,43,1,Artist,1,Low,1,Cat_4,B
294,1,0,39,1,Artist,9,Average,2,Cat_3,B
295,1,0,26,0,Entertainment,8,Low,2,Cat_4,A
296,1,0,59,1,Executive,11,High,3,Cat_6,D
297,0,0,31,1,Artist,0,Average,2,Cat_6,C
298,0,0,89,1,Entertainment,6,Average,4,Cat_2,C
299,0,0,39,0,Doctor,1,Average,9,Cat_4,C
300,0,1,53,1,Engineer,1,Low,1,Cat_6,C
301,1,1,25,0,Entertainment,2,Low,7,Cat_6,A
302,0,1,37,1,Artist,0,Low,1,Cat_2,B
303,1,1,48,1,Entertainment,nan,Low,nan,Cat_3,C
304,1,0,87,0,Executive,0,High,2,Cat_6,D
305,0,1,32,0,Marketing,11,Low,6,Cat_6,A
306,0,0,42,1,Artist,0,Low,2,Cat_6,C
307,1,1,63,1,Artist,0,Low,2,Cat_6,B
308,0,0,79,1,Lawyer,14,High,3,Cat_6,D
309,1,0,39,0,Executive,nan,High,4,Cat_3,A
310,0,1,31,1,Marketing,8,Low,nan,Cat_1,A
311,1,1,18,0,Healthcare,3,Low,5,Cat_6,A
312,0,0,65,1,Lawyer,0,High,3,Cat_6,D
313,1,1,51,1,Artist,nan,Low,1,Cat_6,B
314,0,0,36,1,Homemaker,8,Average,5,Cat_6,B
315,1,0,53,1,Executive,1,High,4,Cat_6,B
316,0,0,41,0,Doctor,nan,Low,1,Cat_7,C
317,1,1,18,0,Doctor,0,Low,2,Cat_5,A
318,1,0,70,1,Lawyer,1,High,3,Cat_6,D
319,1,0,40,0,nan,nan,Average,5,Cat_3,B
320,1,1,38,1,Entertainment,1,Low,3,Cat_6,C
321,1,0,71,0,Lawyer,0,High,nan,Cat_6,C
322,1,0,70,0,Executive,nan,High,2,Cat_6,B
323,1,0,56,1,Artist,0,Average,4,Cat_6,D
324,1,1,29,1,Artist,8,Low,1,Cat_6,A
325,1,1,27,0,Doctor,0,Low,4,Cat_1,A
326,0,0,61,1,Homemaker,1,Average,nan,Cat_3,B
327,1,1,32,1,Healthcare,8,Low,nan,Cat_6,A
328,0,0,58,0,Lawyer,nan,High,2,Cat_6,B
329,1,0,50,nan,Entertainment,nan,Average,5,Cat_4,B
330,1,0,29,0,Healthcare,5,Low,2,Cat_6,A
331,0,0,46,0,Artist,0,Average,4,Cat_3,D
332,0,0,47,0,Engineer,10,Low,2,Cat_3,A
333,1,1,21,0,Doctor,9,Low,3,Cat_7,A
334,0,0,68,1,Artist,nan,Average,3,Cat_6,D
335,0,0,27,0,Doctor,0,Low,nan,Cat_3,D
336,0,1,33,1,Doctor,nan,Low,3,Cat_6,A
337,0,1,40,1,Homemaker,9,Low,1,Cat_6,A
338,0,0,70,1,Entertainment,1,High,2,Cat_6,B
339,1,nan,20,0,Marketing,3,Low,2,Cat_3,D
340,1,0,31,0,Artist,nan,Average,2,Cat_6,B
341,0,1,32,0,Entertainment,nan,Low,4,Cat_6,A
342,1,0,59,1,Artist,0,Average,6,Cat_6,D
343,0,1,28,1,Healthcare,9,Low,1,Cat_6,C
344,1,0,89,1,Lawyer,13,Low,1,Cat_6,C
345,0,0,23,0,Healthcare,7,High,2,Cat_6,B
346,0,0,56,1,Artist,1,Low,2,Cat_6,B
347,1,0,29,1,Healthcare,8,Low,nan,Cat_6,A
348,1,0,43,1,Artist,2,Average,3,Cat_6,C
349,1,0,35,0,Artist,4,Average,2,Cat_6,B
350,0,0,38,1,Artist,nan,Low,3,Cat_6,A
351,0,0,46,1,Artist,8,Average,2,Cat_6,D
352,1,0,55,0,Artist,0,Low,1,Cat_6,C
353,1,0,47,1,Artist,1,Average,4,Cat_2,A
354,0,0,37,0,Engineer,0,Low,2,Cat_6,C
355,0,0,48,1,Engineer,0,High,5,Cat_4,C
356,1,1,33,0,Artist,nan,Low,4,Cat_6,A
357,1,0,88,1,Lawyer,0,High,2,Cat_6,C
358,1,0,25,0,Executive,4,High,8,Cat_4,A
359,1,0,52,1,Engineer,1,Average,3,Cat_4,D
360,1,0,27,0,Executive,nan,Low,2,Cat_4,A
361,0,1,31,1,Homemaker,9,Low,1,Cat_6,A
362,1,1,27,1,Healthcare,1,Low,3,Cat_6,A
363,1,0,33,1,Entertainment,1,Low,2,Cat_7,C
364,1,0,46,1,Artist,0,Low,1,Cat_6,B
365,0,0,42,1,Artist,1,Low,2,Cat_6,C
366,1,0,57,0,Entertainment,0,High,3,Cat_4,A
367,1,1,31,1,Doctor,1,Low,2,Cat_6,C
368,0,1,27,1,Doctor,1,Low,4,Cat_4,B
369,0,1,31,1,Artist,nan,Low,1,Cat_6,C
370,0,1,23,0,Healthcare,0,Low,3,Cat_6,A
371,0,0,37,1,Engineer,nan,Average,3,Cat_6,B
372,1,0,65,0,Lawyer,nan,High,2,Cat_3,A
373,0,1,20,0,Healthcare,0,Low,5,Cat_4,A
374,0,0,78,0,Lawyer,1,Low,1,Cat_6,D
375,0,1,29,0,Homemaker,0,Low,4,Cat_4,C
376,0,1,25,1,Engineer,nan,Low,2,Cat_3,C
377,1,1,27,1,Artist,5,Low,4,Cat_3,B
378,0,1,41,1,Artist,9,Low,1,Cat_6,B
379,1,0,35,1,Executive,9,High,4,Cat_6,D
380,1,0,73,0,Executive,0,High,2,Cat_6,A
381,1,0,51,1,Artist,8,Low,5,Cat_6,C
382,1,0,47,0,Executive,0,Low,4,Cat_4,A
383,1,0,46,0,Executive,nan,Average,3,Cat_1,D
384,0,0,48,0,Entertainment,2,Average,nan,Cat_4,C
385,0,1,22,0,Healthcare,1,Low,4,Cat_2,B
386,1,0,70,1,Artist,1,Low,2,Cat_6,B
387,1,0,43,1,Artist,8,Low,1,Cat_6,B
388,0,1,29,0,Healthcare,0,Low,3,Cat_6,A
389,1,1,35,1,Artist,1,Low,2,Cat_6,B
390,1,1,39,1,Entertainment,9,Low,2,Cat_6,C
391,0,0,41,1,Artist,1,Average,5,Cat_6,D
392,1,1,20,0,Healthcare,0,Low,5,Cat_6,A
393,0,1,32,0,Doctor,1,Low,5,Cat_4,A
394,1,0,51,1,Entertainment,1,Average,4,Cat_6,D
395,0,1,35,1,Homemaker,12,Low,1,Cat_6,D
396,1,0,49,1,Artist,1,Average,4,Cat_6,D
397,1,0,35,0,Artist,0,Low,6,Cat_4,D
398,0,1,35,1,Entertainment,0,Low,1,Cat_6,C
399,1,0,36,1,Engineer,1,Average,3,Cat_4,B
400,1,1,26,0,Artist,8,Low,5,Cat_5,C
401,0,1,26,0,Doctor,0,Low,2,Cat_6,A
402,1,0,37,1,Artist,1,Average,2,Cat_6,D
403,1,0,41,1,Artist,4,Average,3,Cat_6,B
404,0,0,43,1,Artist,0,Average,4,Cat_6,D
405,1,1,33,0,Healthcare,0,Low,7,Cat_4,A
406,1,0,70,0,Lawyer,nan,Low,1,Cat_6,C
407,1,1,21,0,Healthcare,nan,Low,2,Cat_6,A
408,1,1,30,0,Engineer,9,Low,3,Cat_4,A
409,1,0,49,1,Artist,1,Low,2,Cat_3,C
410,1,1,41,1,nan,nan,Low,1,Cat_6,D
411,0,1,31,0,Healthcare,0,Low,4,Cat_6,D
412,0,1,39,1,Doctor,2,Low,1,Cat_6,B
413,0,1,40,nan,Marketing,6,Low,1,Cat_4,C
414,1,0,35,0,Entertainment,8,Average,4,Cat_6,C
415,0,0,73,1,Engineer,0,Low,2,Cat_6,D
416,0,nan,23,0,Healthcare,6,Low,4,Cat_2,A
417,0,1,26,0,Homemaker,9,Low,1,Cat_6,A
418,0,0,72,0,Lawyer,1,Low,3,Cat_6,C
419,1,1,19,0,Healthcare,5,Low,4,Cat_3,C
420,0,1,18,0,Doctor,nan,Low,nan,Cat_6,A
421,1,1,27,1,Doctor,nan,Low,3,Cat_6,B
422,1,0,52,1,Artist,0,High,2,Cat_6,B
423,0,1,18,0,Healthcare,1,Low,3,Cat_6,C
424,0,1,36,1,Artist,1,Low,4,Cat_2,D
425,0,0,79,1,Lawyer,1,High,2,Cat_6,B
426,1,0,51,1,Artist,nan,High,3,Cat_6,C
427,1,0,46,1,Artist,3,Average,3,Cat_6,C
428,0,0,70,0,Engineer,7,Low,1,Cat_3,B
429,0,1,22,0,Healthcare,6,Low,3,Cat_3,D
430,1,0,55,nan,Entertainment,nan,High,5,Cat_6,B
431,1,1,18,0,Healthcare,0,Low,3,Cat_3,B
432,0,0,89,1,Lawyer,0,High,2,Cat_6,D
433,1,1,89,1,Artist,1,Low,nan,Cat_6,C
434,1,1,39,1,Artist,8,Low,3,Cat_6,D
435,1,1,18,0,Doctor,0,Low,6,Cat_4,A
436,1,0,37,nan,Entertainment,0,Low,nan,Cat_3,B
437,0,1,25,1,Artist,nan,Low,1,Cat_6,B
438,0,0,56,1,Artist,1,Average,6,Cat_5,D
439,1,0,55,1,Artist,1,Average,2,Cat_6,D
440,0,0,38,1,Engineer,9,Average,3,Cat_3,D
441,1,0,58,1,Artist,0,Low,1,Cat_6,D
442,0,1,20,0,Healthcare,4,Low,3,Cat_4,A
443,0,0,82,0,Lawyer,0,High,2,Cat_6,C
444,0,0,89,0,Lawyer,nan,High,2,Cat_3,D
445,0,0,42,0,Entertainment,0,Average,3,Cat_6,B
446,1,0,42,1,Executive,0,High,2,Cat_6,B
447,1,1,19,0,Healthcare,nan,Low,4,Cat_6,A
448,0,1,66,1,Artist,0,Low,2,Cat_6,C
449,1,1,29,1,Artist,nan,Low,1,Cat_4,A
450,1,1,32,0,Entertainment,1,Low,3,Cat_7,A
451,1,0,28,1,Healthcare,1,Low,4,Cat_7,A
452,1,1,36,1,Artist,0,Low,1,Cat_4,C
453,1,0,62,1,Doctor,1,Average,4,Cat_3,D
454,1,nan,37,1,Artist,1,Average,3,Cat_3,C
455,1,0,35,1,Executive,nan,Average,3,Cat_6,C
456,1,1,38,0,Artist,2,Low,2,Cat_3,C
457,0,0,70,1,Lawyer,1,Low,2,Cat_6,D
458,1,0,59,1,Entertainment,5,High,5,Cat_6,B
459,1,0,41,0,Artist,1,Average,2,Cat_4,D
460,0,0,40,1,Artist,8,Low,1,Cat_6,B
461,0,1,18,0,Healthcare,6,Low,5,nan,A
462,1,0,71,1,Executive,1,High,4,Cat_6,B
